review_id,customer_id,product_id,rating,review_text,review_date
R00134,C0043,P0091,5,excellent,2025-04-05
R00135,C0239,P0064,1,BAD PRODUCT,2025-10-02
R00136,C0324,P0096,3,Average quality,2025-01-16
R00137,C0366,P0074,1,poor packaging,2023-01-15
R00138,C0432,P0027,4,WILL BUY AGAIN,2024-12-19
R00139,C0492,P0027,3,fast delivery,2023-02-25
R00140,C0206,P0091,2, Bad product ,2025-05-12
R00141,C0499,P0009,3,Good product,2024-10-01
R00142,C0296,P0035,5, Not worth the price ,2023-09-02
R00143,C0019,P0047,4,product is okay,2023-06-02
R00144,C0486,P0044,5,very good quality,2024-02-28
R00145,C0065,P0004,3,Amazing product,2025-03-21
R00146,C0029,P0076,4,terrible experience,2023-11-03
R00147,C0001,P0062,4,Average quality,2023-07-11
R00148,C0104,P0044,5,Amazing product,2025-05-09
R00149,C0123,P0031,4, Amazing product ,2023-04-13
R00150,C0197,P0029,3, product is okay ,2025-11-25
R00151,C0186,P0062,-2, Average quality ,2024-02-15
R00152,C0052,P0076,3,FAST DELIVERY,2025-10-29
R00153,C0006,P0004,1, Terrible experience ,2024-09-03
R00154,C0073,P0088,2,NOT WORTH THE PRICE,2025-09-26
R00155,C0048,P0092,4,Average quality,2025-05-31
R00156,C0332,P0016,4,AVERAGE QUALITY,2025-03-12
R00157,C0495,P0003,4, Excellent ,2024-06-07
R00158,C0463,P0048,5, Fast delivery ,
R00159,C0372,P0092,5, Average quality ,2025-03-06
R00160,C0148,P0083,5,BAD PRODUCT,2023-05-01
R00161,C0055,P0098,2,PRODUCT IS OKAY,2023-02-13
R00162,C0087,P0001,3, Very good quality ,07/02/2025
R00163,C0054,P0077,5,POOR PACKAGING,2023-01-15
R00164,C0009,P0077,4, Very good quality ,2025-09-23
R00165,C0017,P0059,5, Fast delivery ,2023-09-03
R00166,C0381,P0075,5,Bad product,2025-03-09
R00167,C0237,P0061,5,product is okay,2024-12-26
R00168,C0144,,5,VERY GOOD QUALITY,2025-03-12
R00169,C0339,P0019,5,product is okay,2025-11-21
R00170,C0146,P0026,5, Will buy again ,2025-06-02
R00171,C0276,P0096,4,PRODUCT IS OKAY,2025-10-19
R00172,C0085,P0002,0, Bad product ,2023-01-08
R00173,C0497,P0072,3,I love this product,2023-06-14
R00174,C0425,P0030,5,Not worth the price,2024-11-26
R00175,C0250,P0049,3, Terrible experience ,2024-08-27
R00176,C0150,P0019,2,will buy again,2025-08-18
R00177,C0465,P0075,2,i love this product,2024-08-28
R00178,C0033,P0038,4,FAST DELIVERY,2025-01-24
R00179,C0491,P0072,4,Good product,2023-04-12
R00180,C0317,P0003,3,Not worth the price,2024-12-17
R00181,C0101,P0041,4,not worth the price,2024-06-04
R00182,C0230,P0089,3,bad product,04/06/2024
R00183,C0323,P0012,3, Good product ,2023-02-20
R00184,C0482,P0021,4, Average quality ,
R00185,C0268,P0015,2, Average quality ,2025-05-31
R00186,C0227,P0006,5, Bad product ,2024-02-10
R00187,C0226,P0038,4,VERY GOOD QUALITY,2025-10-04
R00188,C0220,P0002,2,bad product,2023-12-22
R00189,C0172,P0042,4,Excellent,2023-06-14
R00190,C0381,P0012,3,I love this product,12/05/2025
R00191,C0096,P0070,3,good product,2024-12-10
R00192,C0036,P0063,4,fast delivery,2024-06-28
R00193,C0050,P0050,5, Excellent ,2025-07-08
R00194,C0180,P0099,5,POOR PACKAGING,03/07/2024
R00195,C0284,,4,I love this product,2024-01-20
R00196,C0109,P0097,5,amazing product,2025-04-11
R00197,C0463,P0014,5,Good product,2023-12-02
R00198,C0217,P0084,5,PRODUCT IS OKAY,2024-12-25
R00199,C0056,P0018,4,terrible experience,2023-05-05
R00200,,P0049,5,AVERAGE QUALITY,2025-03-02
R00201,C0210,P0062,3,Not worth the price,2024-06-15
R00202,C0419,P0046,4,Not worth the price,2023-12-14
R00203,C0025,P0072,4,AVERAGE QUALITY,2024-12-23
R00204,C0349,P0010,2,product is okay,2024-09-18
R00205,C0425,P0074,3,Amazing product,2023-11-14
R00206,C0452,P0002,4, Amazing product ,2023-12-16
R00207,C0062,P0002,4, Bad product ,2025-12-02
R00208,C0172,P0098,4,VERY GOOD QUALITY,2024-05-28
R00209,C0347,P0020,3,Fast delivery,2024-11-14
R00210,C0127,P0024,3,product is okay,2025-04-18
R00211,C0289,P0016,4,poor packaging,2023-09-08
R00212,C0289,P0068,5,GOOD PRODUCT,2024-12-15
R00213,C0439,P0027,3,terrible experience,2023-03-29
R00214,C0174,P0025,5,GOOD PRODUCT,2025-06-05
R00215,C0456,P0002,4,WILL BUY AGAIN,2024-04-05
R00216,C0117,P0072,5, Poor packaging ,2024-08-15
R00217,C0378,P0056,1, product is okay ,2025-08-30
R00218,C0206,P0076,4,Bad product,2023-05-14
R00219,C0332,P0016,5,will buy again,2023-02-05
R00220,C0433,P0063,4, Very good quality ,2025-07-27
R00221,C0182,P0063,1,Average quality,2024-09-19
R00222,C0362,P0036,4,Good product,2025-06-12
R00223,C0060,P0040,5,EXCELLENT,2025-11-10
R00224,C0223,P0061,4,excellent,2024-09-17
R00225,C0396,P0089,3, product is okay ,2024-10-12
R00226,C0191,P0053,5,I love this product,2025-05-19
R00227,C0307,P0060,5,AMAZING PRODUCT,2023-12-01
R00228,C0093,P0095,4,NOT WORTH THE PRICE,2024-04-09
R00229,C0244,P0028,3,bad product,2024-06-25
R00230,C0251,P0097,5, Good product ,2024-01-26
R00231,C0325,P0079,5, Very good quality ,2023-03-24
R00232,C0208,P0098,4, Fast delivery ,2023-08-12
R00233,,P0009,5,product is okay,23/04/2024
R00234,C0011,P0058,4,not worth the price,2025-11-27
R00235,C0119,P0020,5, Amazing product ,2025-11-04
R00236,C0416,P0089,4, Poor packaging ,2023-06-25
R00237,C0384,P0056,5, Good product ,2024-12-26
R00238,C0322,P0012,5, Amazing product ,2023-07-31
R00239,C0004,P0021,4,product is okay,2024-07-02
R00240,C0122,P0055,3,Will buy again,2024-05-07
R00241,C0374,P0085,4,excellent,2025-08-05
R00242,C0024,P0009,3,EXCELLENT,2023-06-04
R00243,C0135,P0025,0,AVERAGE QUALITY,2023-06-03
R00244,C0441,P0087,3,I LOVE THIS PRODUCT,2023-09-02
R00245,C0384,P0072,5, Bad product ,2025-04-27
R00246,C0056,P0095,2,Average quality,2025-08-02
R00247,C0460,P0022,4,GOOD PRODUCT,2025-06-30
R00248,C0237,P0069,3,i love this product,2024-04-13
R00249,C0160,P0016,5,Average quality,2024-10-24
R00250,C0407,P0054,5,AVERAGE QUALITY,2025-07-14
R00251,C0100,P0009,-2,product is okay,2023-07-20
R00252,C0263,P0069,5,fast delivery,2023-12-27
R00253,C0119,P0061,4,PRODUCT IS OKAY,2023-02-08
R00254,C0445,P0083,1,POOR PACKAGING,2024-07-03
R00255,C0100,P0006,3,very good quality,2024-09-02
R00256,C0188,P0061,4,Poor packaging,2023-08-02
R00257,C0462,P0056,4,good product,2025-11-29
R00258,C0025,P0087,4,Terrible experience,2024-06-25
R00259,C0261,P0088,5,Amazing product,2023-03-19
R00260,C0344,P0017,5,AVERAGE QUALITY,2024-08-05
R00261,C0413,P0092,5,Bad product,2025-12-15
R00262,C0222,P0009,5,I LOVE THIS PRODUCT,2024-02-25
R00263,C0194,P0005,3,Terrible experience,2025-07-25
R00264,C0414,P0056,6,Excellent,2023-06-10
R00265,C0100,P0089,3,very good quality,2025-11-23
R00266,C0232,P0018,2,TERRIBLE EXPERIENCE,2023-11-07
R00267,C0104,P0067,5,Will buy again,2023-01-15
R00268,C0004,P0084,4, Excellent ,2023-01-07
R00269,C0329,P0068,5,Terrible experience,2024-04-15
R00270,C0058,P0084,3,very good quality,2025-04-02
R00271,C0212,P0033,4, Amazing product ,2024-01-14
R00272,C0102,P0072,5,WILL BUY AGAIN,2025-04-13
R00273,C0050,P0027,4,excellent,2025-08-30
R00274,C0455,P0090,5,bad product,2025-09-25
R00275,C0400,P0072,5, Very good quality ,2023-06-03
R00276,C0460,P0027,4,product is okay,2024-01-15
R00277,C0258,P0069,4,excellent,2023-03-11
R00278,C0046,P0026,5,Not worth the price,2025-09-23
R00279,C0027,P0084,2,excellent,2024-05-15
R00280,C0038,P0093,4,I LOVE THIS PRODUCT,2025-12-03
R00281,C0007,P0020,4,poor packaging,2025-10-06
R00282,C0008,P0061,4,BAD PRODUCT,2025-04-27
R00283,C0352,P0033,5,Poor packaging,2025-11-08
R00284,C0174,P0089,2,GOOD PRODUCT,2024-05-23
R00285,C0214,P0062,5, Poor packaging ,2023-06-02
R00286,C0262,P0086,3,Excellent,2025-06-28
R00287,C0114,P0078,5, product is okay ,2024-11-04
R00288,,P0029,5, Terrible experience ,2023-04-29
R00289,C0458,P0020,5,terrible experience,2024-01-12
R00290,C0331,P0067,5,Very good quality,2024-07-14
R00291,C0179,P0032,4, Amazing product ,2024-10-10
R00292,C0397,P0054,3, Amazing product ,2025-11-23
R00293,C0125,,5,BAD PRODUCT,2023-03-29
R00294,C0324,P0039,4,poor packaging,2025-04-28
R00295,C0348,P0011,2,fast delivery,2025-06-03
R00296,C0345,P0100,5,Terrible experience,2023-11-23
R00297,C0027,P0089,3,Not worth the price,2025-10-17
R00298,C0034,P0087,4,Amazing product,2024-07-26
R00299,C0020,P0011,4, Average quality ,2023-06-08
R00300,C0288,P0001,5,average quality,2024-08-26
R00301,C0455,P0021,4, Good product ,17/02/2024
R00302,C0066,P0037,5,POOR PACKAGING,2025-07-03
R00303,C0169,P0052,4,bad product,2024-03-14
R00304,C0279,P0083,5,Poor packaging,2025-05-21
R00305,C0246,P0029,5,TERRIBLE EXPERIENCE,2023-09-24
R00306,C0236,P0053,5,Good product,2025-05-01
R00307,C0097,P0079,5, product is okay ,2024-11-10
R00308,C0362,P0031,5,NOT WORTH THE PRICE,2023-04-11
R00309,C0396,P0061,4,Average quality,2023-06-02
R00310,C0304,P0071,5, Average quality ,2024-03-25
R00311,C0213,P0052,5, Will buy again ,2024-05-14
R00312,C0244,P0095,5,fast delivery,2025-05-02
R00313,C0464,P0065,5,Average quality,2024-12-25
R00314,C0247,P0058,3,i love this product,2025-10-12
R00315,C0186,P0073,5,bad product,2024-07-20
R00316,C0259,P0030,5,NOT WORTH THE PRICE,2023-05-31
R00317,C0349,P0066,4,Will buy again,2024-01-28
R00318,C0160,P0070,4,AMAZING PRODUCT,2023-12-07
R00319,C0318,P0049,3, Good product ,2024-07-31
R00320,C0137,P0042,3,Good product,2024-01-09
R00321,C0434,P0050,4, I love this product ,2023-05-08
R00322,C0246,P0067,3,BAD PRODUCT,2024-11-12
R00323,C0301,P0072,5,Poor packaging,2023-05-27
R00324,C0389,P0014,5, Will buy again ,2023-01-07
R00325,C0225,P0093,5, Not worth the price ,2024-03-02
R00326,C0302,P0038,5,good product,2024-04-01
R00327,C0261,P0093,5, Good product ,2024-09-14
R00328,C0131,P0012,3,product is okay,2023-11-18
R00329,C0457,P0071,4,GOOD PRODUCT,2025-11-15
R00330,C0164,P0041,5,VERY GOOD QUALITY,2023-02-01
R00331,C0398,P0014,4, Amazing product ,2025-08-05
R00332,C0002,P0064,5,Will buy again,2025-10-25
R00333,C0405,P0027,3, product is okay ,2023-06-13
R00334,,P0039,3,GOOD PRODUCT,2023-12-07
R00335,C0407,P0047,5, Amazing product ,2024-08-18
R00336,C0462,P0006,3, Very good quality ,2025-04-06
R00337,C0187,P0047,4,fast delivery,2025-08-30
R00338,C0194,P0028,4,product is okay,01/11/2023
R00339,C0498,P0002,4, product is okay ,2025-10-11
R00340,C0387,P0001,5,TERRIBLE EXPERIENCE,2024-11-29
R00341,C0447,P0044,4, Fast delivery ,2025-09-07
R00342,C0368,P0081,3, Terrible experience ,2024-08-04
R00343,C0293,P0052,2,Good product,2023-02-28
R00344,C0476,P0049,5, Very good quality ,2025-04-15
R00345,C0412,P0087,5,Very good quality,2024-12-03
R00346,C0041,P0057,3,not worth the price,2025-04-11
R00347,C0355,P0022,1,Average quality,2024-08-20
R00348,C0193,P0077,5,i love this product,2023-07-07
R00349,C0151,P0028,4,Excellent,2025-03-03
R00350,C0500,P0058,5, Fast delivery ,2025-07-27
R00351,C0406,P0047,4, Average quality ,2025-03-16
R00352,C0197,P0072,5, Excellent ,2024-07-03
R00353,C0093,P0054,5,Good product,2025-02-02
R00354,C0446,P0068,3, Poor packaging ,19/11/2023
R00355,C0159,P0078,5,Will buy again,2025-06-10
R00356,C0194,P0093,5,Good product,2023-08-25
R00357,C0388,P0041,4,poor packaging,2023-03-16
R00358,C0149,P0082,4,good product,2024-01-31
R00359,C0115,P0040,4, Poor packaging ,2025-06-30
R00360,C0054,P0018,3, Terrible experience ,2025-03-10
R00361,C0289,P0031,2,i love this product,2023-04-26
R00362,C0081,P0084,5,WILL BUY AGAIN,2024-03-02
R00363,C0308,P0083,5,WILL BUY AGAIN,2024-08-19
R00364,C0484,P0009,4,PRODUCT IS OKAY,2023-12-01
R00365,C0102,P0036,2,will buy again,2024-10-24
R00366,C0226,P0078,4, Amazing product ,2023-03-04
R00367,C0244,P0024,5,FAST DELIVERY,2025-04-01
R00368,C0437,P0097,4,poor packaging,2025-09-20
R00369,C0128,P0008,3,,2024-03-05
R00370,C0179,P0058,5,Poor packaging,2024-02-10
R00371,C0038,P0083,4,product is okay,2025-01-28
R00372,C0404,P0007,2, Average quality ,2023-07-22
R00373,C0249,P0059,3,I love this product,2025-02-16
R00374,C0311,P0047,5, Terrible experience ,2024-02-18
R00375,C0369,P0017,5,AVERAGE QUALITY,2025-02-23
R00376,C0240,P0011,4, Amazing product ,2025-05-13
R00377,C0169,P0100,4,I LOVE THIS PRODUCT,2023-08-31
R00378,C0016,P0078,5,AVERAGE QUALITY,2024-11-16
R00379,C0013,P0021,3,Poor packaging,22/07/2024
R00380,C0105,P0072,5, Will buy again ,2025-12-18
R00381,C0431,P0076,3,I LOVE THIS PRODUCT,2025-04-06
R00382,C0490,P0016,4, Excellent ,2025-03-06
R00383,C0139,P0099,4,POOR PACKAGING,2025-12-02
R00384,C0260,P0078,4,amazing product,2025-03-11
R00385,C0005,P0067,5,terrible experience,2025-09-07
R00386,C0119,P0073,4,Very good quality,2024-08-31
R00387,C0355,P0031,2,fast delivery,2023-03-20
R00388,C0461,P0080,5,average quality,2023-04-19
R00389,C0405,P0038,5,average quality,2025-08-13
R00390,C0235,P0007,3, I love this product ,2023-10-10
R00391,C0140,P0044,4, Will buy again ,2023-11-05
R00392,C0211,P0009,4, Good product ,2024-11-15
R00393,C0424,P0084,3,Bad product,2025-08-31
R00394,C0029,P0059,3,fast delivery,2023-07-05
R00395,C0126,P0079,5, Very good quality ,2024-06-01
R00396,C0004,P0031,4,I LOVE THIS PRODUCT,2023-12-11
R00397,C0482,P0004,5,EXCELLENT,2024-10-05
R00398,C0487,P0077,4, Amazing product ,2023-08-24
R00399,C0010,P0072,5,PRODUCT IS OKAY,2025-02-01
R00400,C0246,P0059,4,GOOD PRODUCT,2025-08-19
R00401,C0055,P0025,4,AMAZING PRODUCT,2024-03-17
R00402,C0308,P0081,5, Bad product ,2024-10-22
R00403,C0486,P0058,4, Amazing product ,2025-09-06
R00404,C0156,P0099,5,PRODUCT IS OKAY,2025-03-18
R00405,C0048,P0098,5,i love this product,2025-09-14
R00406,C0207,P0024,2,Not worth the price,2025-04-12
R00407,C0377,P0098,5,poor packaging,2025-04-22
R00408,C0462,P0030,2,TERRIBLE EXPERIENCE,
R00409,C0201,P0027,5, Terrible experience ,2025-12-29
R00410,C0006,P0026,2,BAD PRODUCT,2025-04-19
R00411,C0351,P0079,2,poor packaging,2025-05-12
R00412,C0313,P0033,4,Not worth the price,2025-03-23
R00413,C0423,P0036,4,Amazing product,2025-09-23
R00414,C0399,P0041,4,excellent,2025-03-18
R00415,C0494,P0032,4,average quality,2024-11-20
R00416,C0068,P0014,4,product is okay,2025-08-10
R00417,C0025,P0070,4,product is okay,2023-03-06
R00418,C0359,P0023,5,POOR PACKAGING,2024-05-26
R00419,C0470,P0065,5, Bad product ,2025-12-26
R00420,C0013,P0087,1,AMAZING PRODUCT,2023-11-30
R00421,C0182,P0032,5,Not worth the price,2024-10-20
R00422,C0325,P0046,1,NOT WORTH THE PRICE,2025-12-10
R00423,C0215,P0077,4,Good product,2023-03-20
R00424,C0308,P0022,5,excellent,2024-01-21
R00425,C0464,P0041,2,bad product,2024-09-07
R00426,C0140,P0016,1, Fast delivery ,2025-07-23
R00427,C0354,P0035,4, Will buy again ,2023-10-25
R00428,C0265,P0054,4,VERY GOOD QUALITY,2023-12-24
R00429,C0417,P0094,4,amazing product,2024-02-09
R00430,C0116,P0031,5,FAST DELIVERY,2025-06-11
R00431,C0316,P0040,0,Bad product,2023-02-10
R00432,C0138,P0033,2,TERRIBLE EXPERIENCE,2024-10-18
R00433,C0494,P0049,4,VERY GOOD QUALITY,2025-04-28
R00434,C0368,P0086,5,BAD PRODUCT,2025-01-15
R00435,C0213,P0037,2, Very good quality ,2023-01-29
R00436,C0274,P0040,3,very good quality,2025-09-24
R00437,C0343,P0024,5,product is okay,2025-04-15
R00438,C0072,P0028,4,AVERAGE QUALITY,2025-05-26
R00439,C0458,P0047,4,average quality,2025-05-29
R00440,C0066,P0085,5, Terrible experience ,2023-05-07
R00441,C0389,P0070,3, Average quality ,2025-04-22
R00442,C0089,P0056,4,average quality,11/09/2024
R00443,C0039,P0078,5,terrible experience,2025-11-16
R00444,C0362,P0066,5,AMAZING PRODUCT,2023-08-23
R00445,C0348,P0027,5, Fast delivery ,2024-03-10
R00446,C0418,P0082,4, Average quality ,2024-01-04
R00447,C0367,P0056,4, Bad product ,2025-12-27
R00448,C0217,P0096,5,product is okay,2023-01-05
R00449,C0262,P0011,4,terrible experience,2024-05-23
R00450,C0260,P0037,5,will buy again,2025-07-20
R00451,C0434,P0010,5,Excellent,2024-06-10
R00452,C0238,P0087,5, Average quality ,2023-06-30
R00453,C0377,P0041,4,Good product,2025-02-05
R00454,C0275,P0018,5,product is okay,2024-06-17
R00455,C0178,P0086,2,Fast delivery,2024-07-05
R00456,C0180,P0010,4,bad product,2023-05-02
R00457,C0012,P0085,4,PRODUCT IS OKAY,2025-06-01
R00458,C0320,P0093,2,FAST DELIVERY,2025-07-19
R00459,C0226,P0020,3, Fast delivery ,2024-05-03
R00460,C0119,P0016,5,FAST DELIVERY,2025-12-31
R00461,C0159,P0030,3,Terrible experience,2024-05-27
R00462,C0427,P0098,3, Bad product ,2023-02-03
R00463,C0131,P0087,5,good product,2023-05-06
R00464,C0085,P0100,5, Will buy again ,2024-03-07
R00465,C0182,P0007,2, I love this product ,2025-10-13
R00466,C0451,P0044,3,product is okay,2024-01-22
R00467,C0435,,5,excellent,2024-07-10
R00468,C0391,P0081,5,excellent,2024-01-17
R00469,C0082,P0050,5,bad product,2023-02-21
R00470,C0349,P0047,5,terrible experience,2025-01-23
R00471,C0481,P0093,5,not worth the price,
R00472,C0155,P0078,5, I love this product ,2025-01-30
R00473,C0177,P0094,4, I love this product ,2024-03-25
R00474,C0415,P0030,5,amazing product,2024-05-12
R00475,C0396,P0038,5, Excellent ,2023-05-27
R00476,C0350,P0045,1,very good quality,2025-10-30
R00477,C0391,P0057,4,POOR PACKAGING,19/06/2025
R00478,C0096,P0068,4,Good product,2024-11-27
R00479,C0372,P0066,4, Excellent ,2025-07-01
R00480,C0007,P0088,0,very good quality,04/06/2025
R00481,C0324,P0083,5, Amazing product ,2025-12-06
R00482,C0388,P0082,4,Will buy again,2023-02-06
R00483,C0386,P0038,5, Fast delivery ,2025-05-09
R00484,C0164,P0087,3,WILL BUY AGAIN,2025-02-11
R00485,C0002,P0027,5,bad product,2025-07-05
R00486,C0274,P0082,2,poor packaging,2025-07-04
R00487,C0232,P0043,4,good product,2023-03-07
R00488,C0018,P0063,5,FAST DELIVERY,2023-09-17
R00489,C0205,P0075,1,Good product,2025-08-05
R00490,C0107,P0075,5, Good product ,2025-03-27
R00491,C0471,P0069,5,average quality,2025-09-10
R00492,C0098,P0079,5, Bad product ,2023-03-26
R00493,C0323,P0033,3, Terrible experience ,2024-07-04
R00494,C0245,P0031,1,product is okay,2023-07-27
R00495,C0042,P0070,4,PRODUCT IS OKAY,2023-01-01
