order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O00034,C0215,P0052,2024-09-15,2,0.1,jazzcash,completed
O00035,C0424,P0036,2025-12-16,2,0.05,Cod,PENDING
O00036,C0229,P0083,2024-02-25,3,0.2,BANK TRANSFER,PENDING
O00037,C0358,P0045,2025-04-08,2,0.1,cash,Completed
O00038,C0276,P0043,2025-03-09,2,0.25,Card,Returned
O00039,C0110,P0012,2025-11-13,2,0.2,Jazzcash,CANCELLED
O00040,C0012,P0004,2024-06-13,1,0.3,Jazzcash,Pending
O00041,C0259,P0015,2023-05-03,3,0.1,,RETURNED
O00042,C0064,P0007,2023-09-13,1,0.2,COD,COMPLETED
O00043,C0233,P0044,2024-04-28,3,0.2,BANK TRANSFER,Cancelled
O00044,C0180,P0039,2024-08-05,2,0.3,COD,cancelled
O00045,C0366,P0049,2025-11-30,2,0.0,JazzCash,Cancelled
O00046,C0422,P0100,09/01/2025,1,0.05,COD,pending
O00047,C0425,P0053,2023-06-17,1,0.15,card,Pending
O00048,C0110,P0058,2023-06-09,1,0.2,EasyPaisa,pending
O00049,C0447,P0034,2025-10-18,2,0.15,cod,pending
O00050,C0375,P0054,2023-11-30,1,0.05,easypaisa,PENDING
O00051,C0067,P0091,2025-11-17,3,0.0,COD,cancelled
O00052,C0234,P0061,03-08-2023,2,0.2,Jazzcash,Completed
O00053,C0309,P0053,2023-08-14,1,0.2,JAZZCASH,Completed
O00054,C0268,P0020,2023-08-30,1,0.1,Jazzcash,Returned
O00055,C0249,P0004,2023-10-20,1,0.2,EasyPaisa,Completed
O00056,C0480,P0040,2024-08-03,1,0.3,COD,Pending
O00057,C0002,P0016,2024-12-15,1,0.0,easypaisa,pending
O00058,C0294,P0040,2025-07-15,4,0.3,Easypaisa,Pending
O00059,C0428,P0093,2023-09-29,2,0.2,COD,Pending
O00060,C0390,P0058,2025-07-08,1,0.25,JazzCash,COMPLETED
O00061,C0410,P0080,2025-04-18,1,0.15,JAZZCASH,Completed
O00062,C0491,P0086,2025-06-26,2,0.25,cash,Cancelled
O00063,C0363,P0004,2024-09-24,2,0.0,cod,completed
O00064,C0099,P0080,2023-04-19,5,0.2,Card,pending
O00065,C0258,P0003,2023-09-04,2,0.2,card,Completed
O00066,C0141,P0027,2024-05-17,3,0.3,Bank Transfer,Pending
O00067,C0044,P0069,2024-10-18,1,0.0,Easypaisa,completed
O00068,C0175,P0056,2024-01-05,1,0.3,bank transfer,RETURNED
O00069,C0196,P0033,2023-07-06,1,0.0,bank transfer,CANCELLED
O00070,C0147,P0019,2024-01-10,1,0.0,Card,Returned
O00071,C0488,P0053,2023-12-13,1,0.1,card,Completed
O00072,C0366,P0008,2024-09-02,1,0.1,card,pending
O00073,C0458,P0042,2024-06-12,1,0.3,CASH,Completed
O00074,C0104,P0031,2024-04-29,1,0.3,Bank Transfer,Pending
O00075,C0487,P0015,2024-07-05,1,0.15,BANK TRANSFER,pending
O00076,C0034,P0062,2023-03-01,1,0.05,CASH,Returned
O00077,C0284,P0076,2023-07-27,1,0.2,COD,cancelled
O00078,C0156,P0073,2025-04-13,1,0.3,cod,cancelled
O00079,C0401,P0019,2025/02/03,1,0.05,Card,PENDING
O00080,C0493,P0072,2025-07-14,1,0.3,Easypaisa,Returned
O00081,C0335,P0022,2023-01-02,1,0.15,JazzCash,returned
O00082,C0430,P0088,2025-02-17,20,0.3,COD,cancelled
O00083,C0300,P0066,2024-07-30,1,0.25,BANK TRANSFER,completed
O00084,C0154,P0012,2025-03-20,-5,0.3,Card,Returned
O00085,C0450,P0056,2024-03-07,2,0.3,jazzcash,Returned
O00086,C0326,P0034,2025-07-16,1,0.25,Jazzcash,returned
O00087,C0108,P0059,2024-11-03,1,0.25,card,COMPLETED
O00088,C0312,P0061,2023-01-09,4,0.25,card,pending
O00089,C0285,P0090,2025-09-28,2,0.2,Cash,COMPLETED
O00090,C0276,P0004,2025-06-30,2,0.1,EasyPaisa,Returned
O00091,C0199,P0023,2023-01-18,1,0.1,card,PENDING
O00092,C0005,P0029,2023-02-10,2,0.25,COD,RETURNED
O00093,C0099,P0012,2024-09-12,3,0.05,card,PENDING
O00094,C0496,P0047,2023-03-17,1,0.25,COD,CANCELLED
O00095,C0004,P0026,2025-03-22,1,0.1,BANK TRANSFER,PENDING
O00096,C0088,P0071,2024-02-01,2,0.2,COD,Cancelled
O00097,C0034,P0076,2023-09-20,2,0.05,JazzCash,cancelled
O00098,C0452,P0067,2024-07-15,1,0.25,CASH,RETURNED
O00099,C0349,P0072,2025-07-18,1,0.15,cod,completed
O00100,C0438,P0042,2025-06-04,3,0.15,jazzcash,Completed
O00101,C0349,P0067,2025-08-13,1,0.2,Cash,CANCELLED
O00102,C0025,P0036,2025-05-10,1,0.1,cash,Pending
O00103,C0100,P0043,2023-06-17,3,0.3,Cash,Cancelled
O00104,C0354,P0055,2023-06-02,4,0.05,Card,returned
O00105,C0160,P0009,2023-07-18,1,0.15,cash,RETURNED
O00106,C0431,P0033,2024-05-21,1,0.05,JazzCash,Completed
O00107,C0421,P0043,2025-11-30,2,0.0,BANK TRANSFER,pending
O00108,C0392,P0013,2025-07-03,2,0.0,Cash,Completed
O00109,C0194,P0041,2023-05-14,2,0.0,EasyPaisa,completed
O00110,C0155,P0079,2025-06-03,1,0.25,cash,completed
O00111,C0151,P0049,2025-04-02,1,0.3,EasyPaisa,cancelled
O00112,C0443,P0077,2023-01-22,1,0.15,EASYPAISA,Completed
O00113,C0174,P0084,2023-02-23,1,0.1,BANK TRANSFER,Cancelled
O00114,C0056,P0014,2023-01-26,2,0.0,BANK TRANSFER,cancelled
O00115,C0464,P0074,2023-09-16,2,0.1,Jazzcash,PENDING
O00116,C0247,P0093,2025-06-29,1,0.05,cash,COMPLETED
O00117,C0066,P0040,2025-06-11,1,0.25,JAZZCASH,Returned
O00118,C0299,P0070,2023-10-26,1,0.1,Bank Transfer,RETURNED
O00119,C0150,P0048,2023-01-17,1,0.25,Cod,Cancelled
O00120,C0030,P0031,2025-11-04,3,0.2,Cash,Pending
O00121,C0177,P0026,2024-02-15,2,0.05,cash,RETURNED
O00122,C0097,P0086,2025-09-01,2,0.15,bank transfer,Returned
O00123,C0437,P0075,2024-11-18,2,0.15,JAZZCASH,Cancelled
O00124,C0054,P0059,2023-03-28,1,0.0,COD,Cancelled
O00125,C0355,P0030,2025-08-13,2,0.05,EASYPAISA,Returned
O00126,C0414,P0095,2025-02-08,1,0.05,cash,returned
O00127,C0006,P0010,2025-01-02,1,0.0,Card,Returned
O00128,C0226,P0025,2025-01-07,1,0.0,CARD,cancelled
O00129,C0146,P0023,2024-03-24,3,0.25,Card,returned
O00130,C0434,P0071,2024-05-18,1,0.0,card,RETURNED
O00131,C0467,P0013,2023-02-12,3,0.05,Easypaisa,Completed
O00132,C0174,P0027,2024-09-16,1,0.1,jazzcash,Cancelled
O00133,C0482,P0068,2025-06-07,3,0.0,cash,cancelled
O00134,C0452,P0017,2024-01-24,1,0.15,cod,Returned
O00135,C0163,P0077,2025-05-29,5,0.05,Cash,CANCELLED
O00136,C0438,P0069,2024-08-25,2,0.1,CARD,Completed
O00137,C0323,P0036,2023-09-16,3,0.2,easypaisa,CANCELLED
O00138,C0373,P0011,2025-08-21,2,0.2,CASH,cancelled
O00139,C0261,P0050,2025-11-08,1,0.2,EasyPaisa,CANCELLED
O00140,C0165,P0092,2025-02-04,1,0.15,COD,Pending
O00141,C0243,P0035,2025-04-01,2,0.3,bank transfer,Completed
O00142,C0107,P0029,2024-02-20,1,0.05,EASYPAISA,Cancelled
O00143,C0157,P0055,2025-02-11,2,0.3,JAZZCASH,returned
O00144,C0282,P0011,2023-10-03,2,0.1,Easypaisa,returned
O00145,C0118,P0075,2023-03-26,1,0.2,Jazzcash,Pending
O00146,C0231,P0060,2025-06-04,1,0.3,EasyPaisa,returned
O00147,C0140,,2023-02-20,1,0.05,JAZZCASH,COMPLETED
O00148,C0184,P0011,2024-08-26,3,0.2,BANK TRANSFER,Completed
O00149,C0403,P0036,2024-04-11,1,0.0,JazzCash,completed
O00150,C0280,P0026,2024-11-14,1,0.1,jazzcash,RETURNED
O00151,C0382,P0099,2024-07-16,1,0.2,Card,Returned
O00152,C0005,P0099,2024-09-05,1,0.1,EasyPaisa,Pending
O00153,C0421,P0075,2023-01-25,1,0.2,Card,pending
O00154,C0117,P0030,2024-03-05,1,0.2,BANK TRANSFER,Pending
O00155,C0370,P0060,2024-11-28,2,0.1,CARD,pending
O00156,C0395,P0090,05/05/2025,1,0.15,BANK TRANSFER,Completed
O00157,C0192,P0018,2023-09-20,1,0.25,Cash,Pending
O00158,C0415,P0085,2024-12-27,1,0.15,Easypaisa,pending
O00159,C0391,P0100,2024-09-05,1,0.0,Bank Transfer,completed
O00160,C0473,P0018,2023-11-11,5,0.1,BANK TRANSFER,Pending
O00161,C0196,P0027,2025-03-11,1,0.15,Card,PENDING
O00162,C0056,P0043,2025-07-13,2,0.1,CASH,Cancelled
O00163,C0054,P0087,2023-12-30,1,0.25,BANK TRANSFER,Pending
O00164,C0014,P0024,2024-02-12,1,0.15,JazzCash,Cancelled
O00165,C0120,P0038,2025-12-09,1,0.0,JAZZCASH,Completed
O00166,C0088,P0042,2025-04-21,1,0.0,Card,pending
O00167,C0245,P0096,2023-05-21,1,0.3,card,Cancelled
O00168,C0446,P0027,,1,0.25,,pending
O00169,C0082,P0078,2024-09-27,2,0.2,COD,Pending
O00170,C0142,P0026,2023-01-16,20,0.15,Cash,pending
O00171,C0310,P0032,2025-12-12,1,0.2,EASYPAISA,pending
O00172,C0237,P0074,2023-03-22,2,0.1,COD,Pending
O00173,C0178,P0090,09-01-2024,1,0.3,card,PENDING
O00174,C0128,P0023,2025-06-03,1,0.25,CARD,Completed
O00175,C0202,P0090,2023-03-31,1,0.3,Card,RETURNED
O00176,C0452,P0081,2024-08-20,2,0.0,Cod,Cancelled
O00177,C0466,P0064,2025-04-22,20,0.2,Cash,RETURNED
O00178,C0040,P0097,2023-08-04,1,0.3,JAZZCASH,Pending
O00179,C0231,P0022,2024-06-01,-5,0.0,EASYPAISA,Completed
O00180,C0038,P0082,2025-08-03,1,0.25,EASYPAISA,Cancelled
O00181,C0204,P0005,2023-01-22,1,0.25,card,returned
O00182,C0344,P0096,2025-08-08,1,0.0,CASH,CANCELLED
O00183,C0366,P0057,2023-10-15,1,0.1,CARD,cancelled
O00184,C0430,P0003,2023-07-25,1,0.0,Bank Transfer,Pending
O00185,C0087,P0010,2023-01-23,2,0.05,EasyPaisa,returned
O00186,C0092,P0028,2023-03-12,3,0.2,card,Pending
O00187,C0357,P0007,2025-12-06,2,0.25,cod,Completed
O00188,C0200,P0089,2024-09-23,1,0.2,Cash,Completed
O00189,C0396,P0049,2024-02-18,4,0.1,Card,Cancelled
O00190,C0047,P0003,2025-05-13,1,0.0,JAZZCASH,Cancelled
O00191,C0349,P0086,2023-05-10,1,0.0,COD,cancelled
O00192,C0371,P0022,2023-04-01,1,0.0,Jazzcash,Returned
O00193,C0288,P0081,2024-01-24,2,0.2,Easypaisa,Pending
O00194,C0062,P0030,2024-03-13,1,0.1,Card,completed
O00195,C0206,P0084,2024-10-09,1,0.05,Easypaisa,cancelled
O00196,C0034,P0085,2024-07-24,2,0.1,CASH,COMPLETED
O00197,C0454,P0028,2025-04-21,1,0.2,EASYPAISA,COMPLETED
O00198,C0365,P0069,2023-12-18,1,0.0,bank transfer,RETURNED
O00199,C0324,P0090,2025-03-06,2,0.3,COD,CANCELLED
O00200,C0171,P0023,2024-10-13,5,0.25,EASYPAISA,Completed
O00201,C0172,P0003,2025-07-08,1,0.25,COD,CANCELLED
O00202,C0258,P0076,2023-01-28,1,0.2,cash,Returned
O00203,C0122,P0095,2025-05-27,2,0.2,cash,COMPLETED
O00204,C0071,P0048,2025-10-18,1,0.05,Easypaisa,Cancelled
O00205,C0329,P0005,2024-05-02,4,0.2,easypaisa,Returned
O00206,C0069,P0036,2024-10-12,2,0.3,CASH,pending
O00207,C0332,P0037,2023-02-18,1,0.25,jazzcash,returned
O00208,C0125,P0027,2023-04-21,4,0.25,Card,CANCELLED
O00209,C0312,P0049,2025-12-03,1,0.15,Cod,Completed
O00210,C0034,P0063,2023-05-24,5,0.0,COD,Cancelled
O00211,C0481,P0027,2023-09-15,1,0.2,Bank Transfer,Cancelled
O00212,C0121,P0065,2023-06-10,1,0.15,Jazzcash,CANCELLED
O00213,C0370,P0026,2024-05-16,1,0.2,Card,Returned
O00214,C0147,P0074,2025-07-07,5,0.05,JAZZCASH,Pending
O00215,C0041,P0047,2025-03-26,1,0.15,EASYPAISA,Pending
O00216,C0259,P0079,06/06/2025,2,0.3,EASYPAISA,Completed
O00217,C0391,P0049,2025-05-25,3,0.3,JAZZCASH,Cancelled
O00218,C0284,P0094,2023-12-26,1,0.15,JAZZCASH,Pending
O00219,C0146,P0049,2025-09-11,1,0.05,Cod,Pending
O00220,C0101,P0020,2024-01-24,1,0.3,Bank Transfer,returned
O00221,C0252,P0052,2025-05-01,4,0.25,JAZZCASH,Pending
O00222,C0251,P0040,2023-05-26,1,0.0,Cash,Pending
O00223,C0478,P0073,2023-11-29,1,0.15,Jazzcash,RETURNED
O00224,C0261,P0091,2025-09-27,2,0.1,Cod,Completed
O00225,C0334,P0050,2025-05-18,2,0.05,easypaisa,Completed
O00226,C0472,P0047,2023-02-27,2,0.25,card,Returned
O00227,C0310,P0059,2023-10-29,1,0.2,BANK TRANSFER,Cancelled
O00228,C0007,P0015,2023-07-09,2,0.15,Easypaisa,COMPLETED
O00229,C0266,P0025,2025-05-16,1,0.15,Jazzcash,RETURNED
O00230,C0257,P0069,2025-02-22,2,0.25,EasyPaisa,completed
O00231,C0056,P0082,2024-12-06,3,0.1,cod,Cancelled
O00232,C0477,P0096,2025-03-26,2,5.0,CARD,Pending
O00233,C0001,P0013,2023-05-24,2,0.15,BANK TRANSFER,pending
O00234,C0336,P0037,2025-06-01,1,0.1,card,CANCELLED
O00235,C0102,P0063,2024-01-08,1,0.0,EASYPAISA,CANCELLED
O00236,C0096,P0026,2023-05-01,2,0.3,Card,Returned
O00237,C0462,P0053,2025-06-21,2,0.2,cash,Cancelled
O00238,C0041,P0038,2023-06-25,1,0.1,Cash,Returned
O00239,C0016,P0075,2024-04-25,1,0.25,Cash,Completed
O00240,C0032,P0035,2023-01-15,2,0.3,Cash,Completed
O00241,C0109,P0067,2023-01-15,1,0.2,JAZZCASH,PENDING
O00242,C0243,P0097,2024-11-21,2,0.1,JazzCash,RETURNED
O00243,C0162,P0031,2025-01-09,2,0.15,Bank Transfer,Completed
O00244,C0500,P0046,2024-11-07,3,0.0,EASYPAISA,pending
O00245,C0372,P0018,2023-02-22,2,0.3,Bank Transfer,returned
O00246,C0487,P0090,2024-05-24,1,0.2,cod,Pending
O00247,C0264,P0053,2024-01-20,1,0.25,jazzcash,Completed
O00248,C0325,P0047,2023-04-04,5,0.25,Jazzcash,PENDING
O00249,C0120,P0078,2025-09-19,1,0.2,cash,Returned
O00250,C0220,P0061,2023-07-25,2,0.1,Bank Transfer,cancelled
O00251,C0365,P0019,01-Dec-2025,3,0.3,Cod,COMPLETED
O00252,C0066,P0064,2023-06-28,1,0.25,BANK TRANSFER,pending
O00253,C0087,P0058,2023-08-25,1,0.2,card,cancelled
O00254,C0109,P0022,2023-07-03,1,0.25,Cash,cancelled
O00255,C0476,P0042,2025-02-24,2,0.05,COD,RETURNED
O00256,C0341,P0061,2023-09-10,2,0.2,COD,PENDING
O00257,C0047,P0089,2024-11-12,3,0.2,Bank Transfer,COMPLETED
O00258,C0330,P0044,2025-02-11,4,0.25,cod,Pending
O00259,C0335,P0083,2025-06-13,3,0.05,JAZZCASH,Completed
O00260,C0149,P0012,2023-08-17,1,0.25,Bank Transfer,Cancelled
O00261,C0382,P0015,2025-01-23,1,0.1,Easypaisa,Completed
O00262,C0160,P0008,2024-01-24,3,0.15,JazzCash,Returned
O00263,C0409,P0087,2023-09-16,1,0.2,Bank Transfer,Cancelled
O00264,C0055,P0051,2023-01-19,100,0.15,JAZZCASH,cancelled
O00265,C0418,P0038,2024-03-24,1,0.15,CARD,RETURNED
O00266,C0075,P0096,2023-03-12,2,0.1,BANK TRANSFER,Completed
O00267,C0141,P0091,2025-09-06,2,0.05,EASYPAISA,returned
O00268,C0361,P0049,2023-05-01,10,0.1,card,cancelled
O00269,C0435,P0094,2024-04-05,2,0.0,CARD,Pending
O00270,C0373,P0051,2024-09-04,10,0.25,CARD,COMPLETED
O00271,C0281,P0051,2024-11-22,1,0.15,JAZZCASH,Pending
O00272,C0201,P0010,2025-12-17,2,0.1,COD,Cancelled
O00273,C0359,P0071,2025-03-17,1,0.1,BANK TRANSFER,Completed
O00274,C0436,P0091,2024-09-14,1,0.05,Bank Transfer,Cancelled
O00275,C0227,P0090,2025-09-15,1,0.05,card,Cancelled
O00276,C0412,P0096,2024-02-05,2,0.0,JazzCash,COMPLETED
O00277,C0348,P0019,2025-02-10,5,0.15,Cod,CANCELLED
O00278,C0475,P0008,2023-07-16,1,0.15,card,completed
O00279,C0061,P0066,2024-11-24,2,0.05,cod,pending
O00280,C0126,P0005,2023-09-01,1,0.15,JAZZCASH,cancelled
O00281,C0335,P0096,2025-02-07,2,0.3,Cod,Completed
O00282,C0399,P0060,2025-02-21,1,0.25,Easypaisa,Returned
O00283,C0006,P0016,2023-08-27,1,0.15,Cod,Cancelled
O00284,C0012,P0076,2025-09-09,1,0.25,Cash,CANCELLED
O00285,C0197,P0062,2025-06-07,1,0.05,CASH,Returned
O00286,C0033,P0092,2024-01-14,1,0.25,Cash,PENDING
O00287,C0285,P0069,2025-12-21,1,0.2,BANK TRANSFER,COMPLETED
O00288,C0386,P0097,2024-02-29,5,0.0,Card,CANCELLED
O00289,C0003,P0072,2025-07-04,3,0.0,Cash,Cancelled
O00290,C0295,P0027,2023-11-27,1,0.1,Cash,completed
O00291,C0064,P0065,2024-09-03,1,0.2,Card,pending
O00292,C0484,P0085,2023-01-01,1,0.0,BANK TRANSFER,RETURNED
O00293,C0338,P0069,2025-06-30,1,0.15,cod,returned
O00294,C0268,P0046,2025-11-11,1,0.0,COD,completed
O00295,C0122,P0005,2024-01-21,1,0.3,Card,Cancelled
O00296,C0309,P0071,2024-03-18,2,0.1,Card,pending
O00297,C0039,P0071,2024-06-06,1,0.25,CARD,Pending
O00298,C0234,P0011,2024-06-04,2,0.25,CARD,CANCELLED
O00299,C0037,P0081,2024-07-05,20,0.25,Cod,cancelled
O00300,C0366,P0048,2025-11-13,2,0.15,CARD,Returned
O00301,C0404,P0056,2025-02-15,1,0.2,card,COMPLETED
O00302,C0139,P0016,2025-12-24,1,0.2,EasyPaisa,completed
O00303,C0169,P0082,2023-07-02,1,0.1,Jazzcash,Cancelled
O00304,C0445,P0029,2024-07-14,1,0.15,card,Pending
O00305,C0488,P0014,2023-09-10,1,0.25,jazzcash,Pending
O00306,C0049,P0068,2024-12-15,2,0.3,Jazzcash,Returned
O00307,C0312,P0013,2023-04-09,1,0.3,Easypaisa,Cancelled
O00308,C0177,P0095,2025-12-24,2,0.3,EasyPaisa,pending
O00309,C0304,P0017,2024-06-14,1,0.2,cod,Cancelled
O00310,C0337,P0017,2023-10-20,1,0.25,JazzCash,Completed
O00311,C0471,P0093,2025-01-28,2,0.05,Cod,pending
O00312,C0362,P0059,2024-01-10,1,0.1,EasyPaisa,RETURNED
O00313,C0142,P0055,2025-12-02,4,0.3,CARD,Returned
O00314,C0326,P0012,2024-09-17,1,0.1,Cash,COMPLETED
O00315,C0040,P0094,2024-05-06,4,0.05,Bank Transfer,Completed
O00316,C0044,P0096,2024-08-08,2,0.15,Cash,Pending
O00317,C0347,P0066,2023-10-07,1,0.2,COD,completed
O00318,C0208,P0002,2024-01-25,4,0.25,CASH,pending
O00319,C0360,P0069,2024-12-07,1,0.25,cod,COMPLETED
O00320,C0311,P0058,2023-12-12,2,0.3,Bank Transfer,Cancelled
O00321,C0090,P0010,2025-01-21,3,0.2,JazzCash,completed
O00322,C0217,P0064,2025-02-15,1,0.0,JazzCash,CANCELLED
O00323,C0426,P0070,2023-08-30,1,0.15,JAZZCASH,returned
O00324,C0110,P0001,2025-03-17,1,0.1,cod,Completed
O00325,C0479,P0060,2025-09-26,1,0.0,bank transfer,pending
O00326,C0169,P0039,2024-12-25,1,0.1,COD,cancelled
O00327,C0206,P0046,2023-01-19,1,0.15,card,COMPLETED
O00328,C0271,P0066,2023-11-11,1,0.15,Cash,Cancelled
O00329,C0394,P0085,2024-05-27,1,0.15,JAZZCASH,returned
O00330,C0187,P0055,2024-01-09,1,0.1,Cash,Pending
O00331,C0337,P0057,2023-11-28,1,0.25,EasyPaisa,COMPLETED
O00332,C0184,P0091,2024-02-11,1,0.1,cash,Cancelled
O00333,C0203,P0054,2024-11-09,4,0.05,cod,cancelled
O00334,C0486,P0062,2024-06-28,1,0.15,bank transfer,pending
O00335,C0410,P0088,2023-09-18,1,0.3,Easypaisa,pending
O00336,C0068,P0015,2023-08-09,2,0.05,card,RETURNED
O00337,C0257,P0002,2024-04-29,1,0.3,Jazzcash,PENDING
O00338,C0500,P0077,2023-01-17,1,0.1,JazzCash,Pending
O00339,C0043,P0098,2025-05-28,1,0.05,cod,cancelled
O00340,C0128,P0036,2023-08-24,3,0.25,Card,Pending
O00341,C0102,P0061,2023-07-31,2,0.2,bank transfer,Cancelled
O00342,C0097,P0076,2023-11-01,1,0.05,Easypaisa,COMPLETED
O00343,C0141,P0025,2023-10-27,1,0.2,card,COMPLETED
O00344,C0443,P0007,2025-02-17,1,0.1,COD,cancelled
O00345,C0114,P0044,2025-05-22,1,0.2,easypaisa,COMPLETED
O00346,C0156,P0015,2024-07-05,1,0.1,COD,pending
O00347,C0127,P0041,2023-04-08,1,0.0,CASH,RETURNED
O00348,C0109,P0037,2025-08-24,1,0.2,Cash,Pending
O00349,C0095,P0033,2025-10-03,1,0.1,Cash,completed
O00350,C0343,P0002,2023-09-24,1,0.25,Jazzcash,returned
O00351,C0122,P0084,2024-07-19,1,0.15,Cash,Completed
O00352,C0067,P0081,2023-09-04,1,0.25,Card,Cancelled
O00353,C0361,P0058,2023-07-22,1,0.2,Bank Transfer,RETURNED
O00354,C0155,P0093,2025-08-29,10,0.05,bank transfer,Cancelled
O00355,C0023,P0017,2024-01-28,1,0.25,JAZZCASH,RETURNED
O00356,C0459,P0047,2025-07-07,2,0.0,,Completed
O00357,C0248,P0054,2025-12-08,4,0.2,Cash,cancelled
O00358,C0307,P0036,2023-09-22,1,0.2,cash,cancelled
O00359,C0380,P0051,2025-10-10,2,0.3,BANK TRANSFER,Completed
O00360,C0085,P0057,2025-11-09,1,0.3,EasyPaisa,PENDING
O00361,C0311,P0035,2024-02-28,1,0.05,bank transfer,Cancelled
O00362,C0304,P0090,2023-01-19,3,0.3,BANK TRANSFER,PENDING
O00363,C0258,P0091,2025-12-11,1,0.3,card,Returned
O00364,C0363,P0035,2023-09-01,1,0.0,Bank Transfer,CANCELLED
O00365,C0150,P0006,2023-10-31,4,0.1,Card,Returned
O00366,C0448,P0007,2024-05-24,10,0.05,BANK TRANSFER,Completed
O00367,C0001,P0084,2024-12-12,2,0.1,Jazzcash,COMPLETED
O00368,C0485,P0091,2024-06-24,2,0.15,BANK TRANSFER,Returned
O00369,C0167,P0008,2023-01-22,3,0.05,cod,RETURNED
O00370,C0091,P0033,2023-02-02,1,0.3,Bank Transfer,Completed
O00371,C0370,P0096,2025-02-21,4,0.1,COD,cancelled
O00372,C0419,P0057,2024-03-27,1,0.05,BANK TRANSFER,pending
O00373,C0080,P0058,2024-04-19,2,0.15,JazzCash,Cancelled
O00374,C0462,P0062,2023-07-11,1,0.15,CARD,Cancelled
O00375,C0097,P0073,2025-10-01,4,0.05,Cod,returned
O00376,C0011,P0040,2023-11-30,3,0.3,easypaisa,Cancelled
O00377,C0036,P0019,2023-05-28,1,0.15,cod,Pending
O00378,C0052,P0093,2025-12-14,1,0.3,Cash,Completed
O00379,C0194,P0050,2023-02-12,1,0.0,Cod,Completed
O00380,C0068,P0032,2023-06-21,1,0.25,Bank Transfer,COMPLETED
O00381,C0406,P0002,2023-08-06,1,0.3,jazzcash,COMPLETED
O00382,C0104,P0018,2025-09-10,2,0.15,Card,RETURNED
O00383,C0170,P0062,2023-11-13,1,0.2,COD,Returned
O00384,C0322,P0070,2023-09-10,1,0.0,Cash,returned
O00385,C0053,P0066,2025-04-30,1,0.05,Cash,Cancelled
O00386,C0219,P0050,2023-10-29,1,0.1,Card,Pending
O00387,C0352,P0092,2023-08-19,1,0.0,CARD,Completed
O00388,C0490,P0037,2025-01-01,1,0.1,CASH,Returned
O00389,C0473,P0011,2023-03-30,2,0.05,easypaisa,Returned
O00390,C0308,P0024,2025-05-20,1,0.25,COD,RETURNED
O00391,C0320,P0037,2024-12-14,3,0.1,Easypaisa,Returned
O00392,C0478,P0034,2023-06-06,2,0.3,Card,Cancelled
O00393,C0164,P0019,2025-03-10,1,0.3,EasyPaisa,completed
O00394,C0058,P0074,2025-05-25,5,0.1,CARD,COMPLETED
O00395,C0166,P0017,2024-01-08,2,0.1,JAZZCASH,PENDING
O00396,C0218,P0062,2025-04-27,2,0.25,Jazzcash,Cancelled
O00397,C0411,P0084,2024-05-18,1,0.2,easypaisa,PENDING
